run,ls,delivered,recorded
178208,1,131.48714205,106.044577401
178208,2,131.554301175,129.713617112
178208,3,131.507044762,129.600100197
178208,4,131.2812765,129.411959304
178208,5,131.215620938,129.381436983
178208,6,131.048614125,129.146848624
178208,7,130.967399475,129.116365356
178208,8,130.817165738,128.935696784
178208,9,130.7069379,128.87345048
178208,10,130.44716685,128.649544228
178208,11,130.32501075,128.487363766
178208,12,130.335847538,128.463208904
178208,13,130.036304475,128.238211448
178208,14,129.8021274,128.025533312
178208,15,129.605327775,127.830960599
178208,16,129.505992413,127.704735343
178208,17,129.680706375,127.843891567
178208,18,129.539137612,127.765007453
178208,19,129.231631237,127.420426056
178208,20,129.2818725,127.407736767
178208,21,129.182726475,127.361830504
178208,22,129.04517835,127.20139492
178208,23,129.033250087,127.259200199
178208,24,128.85744465,127.017199023
178208,25,128.918021512,127.050156899
178208,26,128.589186825,126.812691123
178208,27,128.566254712,126.734400973
178208,28,128.7398772,126.916179994
178208,29,128.723427112,126.920955805
178208,30,128.454345112,126.580913916
178208,31,128.475862762,126.687124412
178208,32,128.383733363,126.589932066
178208,33,128.376783563,126.605178765
178208,34,128.2142763,126.398814872
178208,35,128.265564488,126.441102884
178208,36,128.08147275,126.261609571
178208,37,127.997017087,126.203701059
178208,38,127.89373905,126.12060517
178208,39,127.729783912,125.962505608
178208,40,127.732078237,125.877460099
178208,41,127.662780712,125.955421748
178208,42,127.5673212,125.83483306
178208,43,127.320525338,125.501258719
178208,44,127.320447375,125.509505111
178208,45,127.181184075,125.374827307
178208,46,127.013987925,125.251699638
178208,47,126.966542175,125.171623581
178208,48,126.885360937,125.144575583
178208,49,126.807676875,125.049439477
178208,50,126.5725197,124.82528125
178208,51,126.476436487,124.756737521
178208,52,126.346239113,124.601241035
178208,53,126.414935212,124.602964682
178208,54,126.124469213,124.291228389
178208,55,126.16493175,124.435294666
178208,56,125.861891512,124.152679638
178208,57,125.769962587,124.013982694
178208,58,125.648296538,123.887377575
178208,59,125.4861234,123.704068547
178208,60,125.42789655,123.725967117
178208,61,125.349544237,123.65885938
178208,62,125.138221312,123.448479032
178208,63,125.174551837,123.392144004
178208,64,125.001140963,123.358043964
178208,65,125.196882525,123.440354478
178208,66,124.998891187,123.192829717
178208,67,124.944517912,123.226862941
178208,68,124.765939237,122.985409807
178208,69,124.768177875,123.09275101
178208,70,124.60585995,122.90599613
178208,71,124.781865862,123.06243913
178208,72,124.578662175,122.823705433
178208,73,124.431413287,122.758490312
178208,74,124.54990515,122.860157799
178208,75,124.417045913,122.668874774
178208,76,124.0985691,122.455584354
178208,77,124.06038975,122.31289379
178208,78,124.0411887,122.332039762
178208,79,123.823016212,122.069151801
178208,80,123.92976915,122.170248518
178208,81,123.796174837,122.15348085
178208,82,123.751624838,122.064790948
178208,83,123.5904318,121.967415784
178208,84,123.553967625,121.872685743
178208,85,123.329959088,121.650657234
178208,86,123.409102162,121.642048857
178208,87,123.261597112,121.637699917
178208,88,123.014244375,121.39793106
178208,89,123.002795025,121.257898263
178208,90,122.870826787,121.216366741
178208,91,122.9024907,121.171687478
178208,92,122.896587825,121.298076239
178208,93,122.412162262,120.747595411
178208,94,122.467627013,120.829957341
178208,95,122.471447175,120.763257644
178208,96,122.017660875,120.333029164
178208,97,122.115860212,120.491279611
178208,98,122.163383925,120.472452614
178208,99,122.016725325,120.359044844
178208,100,122.050460812,120.343754204
178208,101,121.579623,119.970450942
178208,102,121.691075962,120.088198902
178208,103,121.647183075,119.924671207
178208,104,121.681609087,120.055649644
178208,105,121.399741237,119.772143278
178208,106,121.313648362,119.733846052
178208,107,121.107582337,119.475516678
178208,108,121.070694937,119.442400659
178208,109,121.005852412,119.347846185
178208,110,121.098984187,119.482638234
