run,ls,delivered,recorded
166161,1,0.0,0.0
166161,2,0.0,0.0
166161,3,0.0,0.0
166161,4,0.0,0.0
166161,5,0.0,0.0
166161,6,0.0,0.0
166161,7,0.0,0.0
166161,8,0.0,0.0
166161,9,0.0,0.0
166161,10,0.0,0.0
166161,11,16875.3660768,16746.7469235
166161,12,20311.0549488,20127.9953936
166161,13,20348.2417248,20165.0544389
166161,14,20327.7715344,20145.0902685
166161,15,20429.5094784,20245.351299
166161,16,20502.0853488,20316.1034247
166161,17,20512.9384416,20326.8329753
166161,18,20491.3163664,20305.7042376
166161,19,19361.8405728,19196.7767294
166161,20,19542.9430944,19374.9290346
166161,21,22623.3139968,22391.3450541
166161,22,26370.1814112,26043.9045748
166161,23,26762.1244704,26420.9329544
166161,24,27568.1330496,27204.0911744
166161,25,27571.1866848,27207.917813
166161,26,27564.7087584,27200.5838741
166161,27,27552.5940096,27191.0391367
166161,28,27540.4764096,27175.4544391
166161,29,27536.7071232,27172.5573679
166161,30,27531.101664,27166.4854006
166161,31,27525.4021152,27159.8696147
166161,32,27518.955552,27152.4061673
166161,33,27509.218704,27142.2841982
166161,34,27503.3480832,27136.748674
166161,35,27494.62056,26715.2061365
166161,36,27470.7246528,13904.1277685
166161,37,27448.231536,6668.71265144
166161,38,27458.1166464,26838.9036291
166161,39,27448.8388416,27063.5664246
166161,40,27438.2067168,27054.1284396
166161,41,27432.706752,26816.2778742
166161,42,27420.9940224,27032.6867004
166161,43,27412.5972384,27028.2597732
166161,44,27410.7439584,26497.3152034
166161,45,27409.2328224,27030.9029183
166161,46,27396.553536,27023.8547369
166161,47,27390.523248,26560.3217083
166161,48,27367.5767904,26998.069333
166161,49,27361.4239008,26991.0579075
166161,50,27351.005616,26754.6848669
166161,51,27347.1764544,26978.1029788
166161,52,27336.5928,26743.639261
166161,53,27321.9005664,26952.5482161
166161,54,27323.9733888,26955.5354313
166161,55,27313.0162272,26769.3833305
166161,56,27303.5388384,26760.7488482
166161,57,27293.3229888,26752.1182074
166161,58,27285.7444992,26687.7913217
166161,59,27272.9083968,26906.7267161
166161,60,27266.267952,26497.0912555
166161,61,27262.1166048,26887.9212897
166161,62,27268.5204,26429.3833034
166161,63,27264.2065344,26885.438139
166161,64,27256.2630912,26879.3723839
166161,65,27254.5124544,26649.3379363
166161,66,27250.8087456,26872.8613794
166161,67,27257.5746432,26881.2838951
166161,68,27249.2805024,26874.9092397
166161,69,27244.9723392,26640.8970943
166161,70,27248.4023328,26875.0036867
166161,71,27234.7279776,26857.6067855
166161,72,27219.237408,26841.5282442
166161,73,27201.7053792,26823.3275875
166161,74,27195.6123648,26822.1711499
166161,75,27188.8749792,26182.73962
166161,76,27178.5593376,26806.7148652
166161,77,27169.3471104,26794.3828182
166161,78,27165.37824,26615.0866629
166161,79,27148.0514976,26424.4884404
166161,80,27142.155216,26772.4901825
166161,81,27134.5881312,26588.5683774
166161,82,27117.9171648,26572.8423075
166161,83,27103.535712,26728.8894162
166161,84,27097.7506272,26553.9378995
166161,85,27088.5127392,26258.8703401
166161,86,27087.1156512,26716.7742208
166161,87,27081.3220128,26712.0221742
166161,88,27062.6751648,26520.410522
166161,89,27056.7133056,26513.7485177
166161,90,27044.2107936,26501.2101231
166161,91,27038.2802976,26669.9081109
166161,92,27023.8902912,26663.2486492
166161,93,27022.7840256,26439.5711621
166161,94,27020.1153024,26663.4262444
166161,95,27020.1267072,26313.9280677
166161,96,27005.4972,26421.6352047
166161,97,26992.1849472,26578.6122652
166161,98,26986.8532032,26402.6038894
166161,99,26977.0650336,26392.052926
166161,100,26976.0471552,26166.0507915
166161,101,26973.1246752,26620.5606799
166161,102,26960.7419136,26603.2322361
166161,103,26945.3055168,26589.258614
166161,104,26938.5994944,26358.3973496
166161,105,26931.9447936,26352.163793
166161,106,26918.0480448,26391.0934402
166161,107,26900.8125408,26546.7495554
166161,108,26889.3193536,26529.9521934
166161,109,26878.2139296,26519.0016648
166161,110,26870.1393312,26519.0850451
166161,111,26855.424288,26503.1269246
166161,112,26851.8574368,10156.6032342
166161,113,26839.6343424,901.456971277
166161,114,26829.036432,2906.54541906
166161,115,26823.0517632,2857.66069398
166161,116,26818.1134848,2366.13651961
166161,117,26814.03912,2291.44242023
166161,118,26800.9064928,2719.2881955
166161,119,26793.5703552,2693.53541684
166161,120,26783.7137568,1591.45813272
166161,121,26772.69672,-11.874268136
166161,122,26766.1589184,2123.31413414
166161,123,26749.7702208,1940.79403341
166161,124,26747.4693024,-14.2714432304
166161,125,26733.008016,0.17214849509
166161,126,26727.1488,1073.65845459
