#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
275832:5045,1:1,06/26/16 17:18:04,STABLE BEAMS,6500,230277.773,200290.292,34.0,PLTZERO
275832:5045,2:2,06/26/16 17:18:27,STABLE BEAMS,6500,230234.218,74797.986,34.0,PLTZERO
275832:5045,3:3,06/26/16 17:18:50,STABLE BEAMS,6500,230171.205,96266.629,34.0,PLTZERO
275832:5045,4:4,06/26/16 17:19:14,STABLE BEAMS,6500,230156.036,200016.811,34.0,PLTZERO
275832:5045,5:5,06/26/16 17:19:37,STABLE BEAMS,6500,230103.881,197807.601,34.0,PLTZERO
275832:5045,6:6,06/26/16 17:20:00,STABLE BEAMS,6500,230038.839,195631.233,34.0,PLTZERO
275832:5045,7:7,06/26/16 17:20:24,STABLE BEAMS,6500,229959.084,198199.449,34.0,PLTZERO
275832:5045,8:8,06/26/16 17:20:47,STABLE BEAMS,6500,229859.162,199179.969,34.0,PLTZERO
275832:5045,9:9,06/26/16 17:21:10,STABLE BEAMS,6500,229927.502,199857.813,34.0,PLTZERO
275832:5045,10:10,06/26/16 17:21:33,STABLE BEAMS,6500,229833.388,201760.017,34.0,PLTZERO
275832:5045,11:11,06/26/16 17:21:57,STABLE BEAMS,6500,229737.322,202642.802,34.0,PLTZERO
275832:5045,12:12,06/26/16 17:22:20,STABLE BEAMS,6500,229714.212,201226.326,34.0,PLTZERO
275832:5045,13:13,06/26/16 17:22:43,STABLE BEAMS,6500,229660.331,204760.041,34.0,PLTZERO
275832:5045,14:14,06/26/16 17:23:07,STABLE BEAMS,6500,229607.135,202489.531,33.9,PLTZERO
275832:5045,15:15,06/26/16 17:23:30,STABLE BEAMS,6500,229555.816,204655.247,33.9,PLTZERO
275832:5045,16:16,06/26/16 17:23:53,STABLE BEAMS,6500,229445.086,111812.360,33.9,PLTZERO
275832:5045,17:17,06/26/16 17:24:17,STABLE BEAMS,6500,229462.184,203683.998,33.9,PLTZERO
275832:5045,18:18,06/26/16 17:24:40,STABLE BEAMS,6500,229356.527,202798.550,33.9,PLTZERO
275832:5045,19:19,06/26/16 17:25:03,STABLE BEAMS,6500,229286.106,204721.905,33.9,PLTZERO
275832:5045,20:20,06/26/16 17:25:27,STABLE BEAMS,6500,229217.688,203893.509,33.9,PLTZERO
275832:5045,21:21,06/26/16 17:25:50,STABLE BEAMS,6500,229104.851,203346.842,33.9,PLTZERO
275832:5045,22:22,06/26/16 17:26:13,STABLE BEAMS,6500,229066.825,202632.364,33.9,PLTZERO
275832:5045,23:23,06/26/16 17:26:37,STABLE BEAMS,6500,228986.890,204732.067,33.9,PLTZERO
275832:5045,24:24,06/26/16 17:27:00,STABLE BEAMS,6500,228907.107,204087.404,33.8,PLTZERO
275832:5045,25:25,06/26/16 17:27:23,STABLE BEAMS,6500,228835.771,206900.857,33.8,PLTZERO
275832:5045,26:26,06/26/16 17:27:46,STABLE BEAMS,6500,228770.144,203897.288,33.8,PLTZERO
275832:5045,27:27,06/26/16 17:28:10,STABLE BEAMS,6500,228679.401,205484.594,33.8,PLTZERO
275832:5045,28:28,06/26/16 17:28:33,STABLE BEAMS,6500,228571.611,206284.147,33.8,PLTZERO
275832:5045,29:29,06/26/16 17:28:56,STABLE BEAMS,6500,228665.093,203490.818,33.8,PLTZERO
275832:5045,30:30,06/26/16 17:29:20,STABLE BEAMS,6500,228500.731,206553.050,33.8,PLTZERO
275832:5045,31:31,06/26/16 17:29:43,STABLE BEAMS,6500,228418.334,205331.805,33.8,PLTZERO
275832:5045,32:32,06/26/16 17:30:06,STABLE BEAMS,6500,228250.114,206904.953,33.7,PLTZERO
275832:5045,33:33,06/26/16 17:30:30,STABLE BEAMS,6500,228214.446,206728.983,33.7,PLTZERO
275832:5045,34:34,06/26/16 17:30:53,STABLE BEAMS,6500,228164.089,206482.984,33.7,PLTZERO
275832:5045,35:35,06/26/16 17:31:16,STABLE BEAMS,6500,228018.015,207697.787,33.7,PLTZERO
275832:5045,36:36,06/26/16 17:31:40,STABLE BEAMS,6500,228001.906,208111.053,33.7,PLTZERO
