#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
273301:4919,1:1,05/12/16 22:14:12,STABLE BEAMS,6500,44773.462,41892.738,23.2,PXL
273301:4919,2:2,05/12/16 22:14:35,STABLE BEAMS,6500,44722.749,42644.038,23.2,PXL
273301:4919,3:3,05/12/16 22:14:59,STABLE BEAMS,6500,44689.959,41298.848,23.2,PXL
273301:4919,4:4,05/12/16 22:15:22,STABLE BEAMS,6500,44677.471,42575.023,23.2,PXL
273301:4919,5:5,05/12/16 22:15:45,STABLE BEAMS,6500,44532.621,42370.648,23.1,PXL
273301:4919,6:6,05/12/16 22:16:09,STABLE BEAMS,6500,44715.548,42564.671,23.2,PXL
273301:4919,7:7,05/12/16 22:16:32,STABLE BEAMS,6500,44654.224,42555.474,23.2,PXL
273301:4919,8:8,05/12/16 22:16:55,STABLE BEAMS,6500,44667.806,42461.968,23.2,PXL
273301:4919,9:9,05/12/16 22:17:19,STABLE BEAMS,6500,44756.084,42611.379,23.2,PXL
273301:4919,10:10,05/12/16 22:17:42,STABLE BEAMS,6500,44634.283,42510.801,23.2,PXL
273301:4919,11:11,05/12/16 22:18:05,STABLE BEAMS,6500,44585.481,42497.688,23.1,PXL
273301:4919,12:12,05/12/16 22:18:29,STABLE BEAMS,6500,44687.047,42590.176,23.2,PXL
273301:4919,13:13,05/12/16 22:18:52,STABLE BEAMS,6500,44605.624,41831.382,23.2,PXL
273301:4919,14:14,05/12/16 22:19:15,STABLE BEAMS,6500,44638.156,42550.152,23.2,PXL
273301:4919,15:15,05/12/16 22:19:38,STABLE BEAMS,6500,44533.844,42347.924,23.1,PXL
273301:4919,16:16,05/12/16 22:20:02,STABLE BEAMS,6500,44500.317,42418.690,23.1,PXL
273301:4919,17:17,05/12/16 22:20:25,STABLE BEAMS,6500,44614.052,41823.341,23.2,PXL
273301:4919,18:18,05/12/16 22:20:48,STABLE BEAMS,6500,44506.657,42424.313,23.1,PXL
273301:4919,19:19,05/12/16 22:21:12,STABLE BEAMS,6500,44568.519,42482.429,23.1,PXL
273301:4919,20:20,05/12/16 22:21:35,STABLE BEAMS,6500,44503.491,42319.980,23.1,PXL
273301:4919,21:21,05/12/16 22:21:58,STABLE BEAMS,6500,44406.270,42321.704,23.0,PXL
273301:4919,22:22,05/12/16 22:22:22,STABLE BEAMS,6500,44601.990,42505.654,23.1,PXL
273301:4919,23:23,05/12/16 22:22:45,STABLE BEAMS,6500,44567.974,42477.065,23.1,PXL
273301:4919,24:24,05/12/16 22:23:08,STABLE BEAMS,6500,44526.812,42444.224,23.1,PXL
273301:4919,25:25,05/12/16 22:23:32,STABLE BEAMS,6500,44653.892,41966.667,23.2,PXL
273301:4919,26:26,05/12/16 22:23:55,STABLE BEAMS,6500,44410.555,42291.224,23.0,PXL
273301:4919,47:47,05/12/16 22:32:05,STABLE BEAMS,6500,44399.370,42336.822,23.0,PXL
273301:4919,48:48,05/12/16 22:32:28,STABLE BEAMS,6500,44267.750,42211.084,23.0,PXL
273301:4919,49:49,05/12/16 22:32:51,STABLE BEAMS,6500,44259.385,42211.119,23.0,PXL
273301:4919,50:50,05/12/16 22:33:14,STABLE BEAMS,6500,44228.406,42179.967,23.0,PXL
273301:4919,51:51,05/12/16 22:33:38,STABLE BEAMS,6500,44237.979,42024.092,23.0,PXL
273301:4919,52:52,05/12/16 22:34:01,STABLE BEAMS,6500,44273.626,42227.766,23.0,PXL
273301:4919,53:53,05/12/16 22:34:24,STABLE BEAMS,6500,44243.019,42197.814,23.0,PXL
273301:4919,54:54,05/12/16 22:34:48,STABLE BEAMS,6500,44177.067,42082.263,22.9,PXL
273301:4919,55:55,05/12/16 22:35:11,STABLE BEAMS,6500,44164.659,40788.766,22.9,PXL
273301:4919,56:56,05/12/16 22:35:34,STABLE BEAMS,6500,44167.465,42052.750,22.9,PXL
